91,허서방네,서울특별시 종로구 종로 332 (창신동),한식,,
92,화동옥,서울특별시 종로구 창덕궁1길 40 (계동),한식,,
93,송학횟집,"서울특별시 서초구 법원로3길 12, 승소빌딩 지하1층 (서초동)",회집,,
94,망향비빔국수 신사점,"서울특별시 서초구 강남대로95길 17, 1층 (잠원동)",한식,,
95,부안애서,"서울특별시 서초구 청계산로 223, 1층 (신원동)",한식,,
96,서초바다 청조,"서울특별시 서초구 서초대로 338, 102호 (서초동)",한식,,
97,서래족발,"서울특별시 서초구 방배로 189, 1층 서래족발 (방배동)",한식,,
98,해승어풍,"서울특별시 서초구 남부순환로347길 28, 반도빌딩 1층 (서초동)",한식,,
99,쌍다리돼지불백 양재점,"서울특별시 서초구 언남11길 34-2, 1층 (양재동)",한식,,
100,훌탐라수면,"서울특별시 서초구 강남대로10길 7, 1층 (양재동)",기타,,
101,소담비빔국수,"서울특별시 서초구 바우뫼로33길 7-8, 1층 (양재동)",한식,,
102,월화당(서래본점),"서울특별시 서초구 사평대로22길 9, 포레스트 1층 (반포동)",한식,,
103,주식회사 석안정,"서울특별시 서초구 사평대로 349, 서초빌딩 109,110호 (반포동)",한식,,
104,육목원,"서울특별시 서초구 서초대로78길 46, 1층 (서초동)",한식,,
105,내림손 삼계탕,"서울특별시 서초구 반포대로30길 34, 1층 (서초동)",한식,,
106,비노바인,"서울특별시 서초구 반포대로23길 6, 지하1층 (서초동)",경양식,,
107,감선호취,"서울특별시 서초구 강남대로53길 11, 1층 103호 (서초동, 서초동삼성쉐르빌2)",한식,,
108,옛날 손칼국수 전문점,"서울특별시 서초구 서초대로53길 20-3, (서초동,1층)",한식,,
109,건너편갈비살,"서울특별시 서초구 신반포로42길 2, 2층 201,202,203,204,205호 (반포동, NOVA월드)",한식,,
110,우나기야 주식회사,"서울특별시 서초구 서래로8길 6, 4층 (반포동)",일식,,
111,아비꼬 내방역점,"서울특별시 서초구 서초대로25길 23, 1층 101호 (방배동)",일식,,
112,수하동 서초점,"서울특별시 서초구 법원로2길 6, 1층 (서초동)",한식,,
113,속리산 염소요리 전문점,"서울특별시 서초구 법원로3길 24, (서초동,두언빌딩 1층)",한식,,
114,오장동함흥냉면 파미에스테이션점,"서울특별시 서초구 사평대로 205, CENTRALCITY 반포천 복개주차장 1층 FP113호 (반포동)",냉면집,,
115,우화,"서울특별시 서초구 서초대로78길 36, (서초동, B101호 일부)",한식,,
116,스시타노,"서울특별시 서초구 서래로5길 30, 2층 (반포동)",한식,,
117,시골집,"서울특별시 서초구 반포대로10길 7, 1층 (서초동)",한식,,
118,한우다이닝울릉(HANWOODINING ULLEUNG),"서울특별시 서초구 서운로 135, 1층,2층 (서초동)",한식,,
119,서관면옥 교대본점,"서울특별시 서초구 서초대로56길 11, 1층 (서초동)",한식,,
120,바른식 시골보쌈 앤 옹심이,"서울특별시 서초구 서초대로52길 17, 1층,2층 (서초동)",한식,,
121,공리,"서울특별시 서초구 반포대로7길 7, 1층 (서초동)",중국식,,
122,공항칼국수 서초점,"서울특별시 서초구 반포대로30길 53, 조광빌딩 지하1층 (서초동)",한식,,
123,원할머니 보쌈 족발 박가 부대찌개 반포점,"서울특별시 서초구 서초중앙로 238, 삼호가든쇼핑센타 지하중층 (반포동)",한식,,
124,소진상,"서울특별시 서초구 서래로 50, 한영빌딩 2층 (반포동)",경양식,,
125,방이옥 사당역,"서울특별시 서초구 방배천로2안길 7, 1층 (방배동)",한식,,
126,만강홍 교대본점,"서울특별시 서초구 서초중앙로22길 46, 1층 (서초동)",중국식,,
127,교대 평상집,"서울특별시 서초구 서초대로50길 24, 청화빌딩 3층 (서초동)",한식,,
128,강남역 모범갈빗살,"서울특별시 서초구 서초대로73길 40, 104호 (서초동, 강남오피스텔)",한식,,
129,개성손만두요리전문점 방배점,"서울특별시 서초구 동광로19길 5, 1층 (방배동)",한식,,
130,아기다람쥐,"서울특별시 서초구 서초대로 3-4, 1층 109-1호 (방배동, 방배디오슈페리움Ⅰ)",한식,,
131,평안도식당 교대지점,"서울특별시 서초구 법원로2길 14, 1층 (서초동)",한식,,
132,선화의 고기,"서울특별시 서초구 서초대로24길 9, 1층 (방배동)",한식,,
133,사쿠,"서울특별시 서초구 나루터로15길 11, 대영빌딩 1층 (잠원동)",한식,,
134,공리특허짬뽕,"서울특별시 서초구 방배로26길 8, (방배동)",중국식,,
135,명인등심,"서울특별시 서초구 서초대로 87, 1층 (방배동)",한식,,
136,금강바베큐,"서울특별시 서초구 사평대로 349, (반포동)",경양식,,
137,U-소백산,"서울특별시 서초구 강남대로8길 36, (양재동, (지하1층,지상2층))",한식,,
138,청계숲 양대창,"서울특별시 서초구 서초대로78길 52, 강남역 인앤인 1층 101호 (서초동)",한식,,
139,한지박,"서울특별시 서초구 고무래로 10-6, (반포동)",한식,,
140,진대감 강남역 삼성타운점,"서울특별시 서초구 서초대로78길 50, (서초동,우영빌딩 2층)",한식,,
141,영동회관,"서울특별시 서초구 강남대로30길 28, 103호 (양재동)",한식,,
142,원조마산콧털네아구찜,"서울특별시 서초구 신반포로47길 118, A동 1층 (잠원동)",한식,,
143,서초 해물찜,"서울특별시 서초구 서초중앙로24길 27, 지하1층 지106,107호 (서초동, 지파이브센트럴프라자)",한식,,
144,스시 다미선,"서울특별시 서초구 서초대로78길 28, 2층 (서초동, 스퀘어큐브)",일식,,
145,소공동뚝배기집 교대점,"서울특별시 서초구 서초대로54길 32, 지하1층 (서초동, 추호주택 )",한식,,
146,Kelly(켈리),"서울특별시 서초구 방배로42길 20, 1층 (방배동)",경양식,,
147,이자카야 나무  (서초),"서울특별시 서초구 서초대로75길 23, 지하1층~지상4층 (서초동)",일식,,
148,영양센타 서초역점,"서울특별시 서초구 명달로 130, 1층 (서초동)",호프/통닭,,
149,인덕원비빔국수,"서울특별시 서초구 남부순환로 2656, 1,2층 (양재동)",한식,,
150,우주,"서울특별시 서초구 동광로 106, 2층 (방배동)",한식,,
151,강촌식당 서초점,"서울특별시 서초구 효령로 316-1, 1층 (서초동)",한식,,
152,방배 송이족발,"서울특별시 서초구 방배중앙로 166, 1층 (방배동)",한식,,
153,만발,"서울특별시 서초구 서초대로29길 32, 1층 (방배동)",한식,,
154,참치한마리 강남본점,"서울특별시 서초구 사평대로56길 8, 양정빌딩 2층 가호 (서초동)",일식,,
155,담소사골순대 이수역점,"서울특별시 서초구 서초대로 12, 101동 101호, 102호 (방배동, 세양아르비채)",한식,,
156,(주)댓짱돈까스,"서울특별시 서초구 방배로6길 13, 파크에비뉴빌딩 1층 (방배동)",한식,,
157,용이네 정육식당,"서울특별시 서초구 방배중앙로 176, 1층 (방배동)",한식,,
158,돈선생 방배점,"서울특별시 서초구 효령로31길 52, 1층 (방배동)",한식,,
159,순남시래기 방배점,"서울특별시 서초구 방배로 121, 1층 (방배동)",한식,,
160,수라빔,"서울특별시 서초구 신반포로 176, 1층중층 M8호 (반포동, 센트럴시티)",한식,,
161,김영희 강남동태찜 이수점,"서울특별시 서초구 서초대로 3-4, (방배동,방배디오슈페리움 1차 B117~119, B122~126호)",한식,,
162,서래횟집,"서울특별시 서초구 서래로5길 17, 1층 (반포동)",한식,,
163,미나토,"서울특별시 서초구 방배로23길 19, 1층 (방배동)",한식,,
164,더가든 키친,"서울특별시 서초구 강남대로107길 6, 1동 1층 (잠원동, 더리버사이드호텔 )",뷔페식,,
165,정담남원추어탕,"서울특별시 서초구 방배로15길 14, 1층 (방배동)",한식,,
166,서래말 면옥집,"서울특별시 서초구 사평대로26길 47, 2층 (반포동)",한식,,
167,방배순대국,"서울특별시 서초구 효령로31길 46, 1층 (방배동)",한식,,
168,서리풀 명가,"서울특별시 서초구 서초대로25길 16-1, 1층 (방배동)",한식,,
169,경복궁 서초점,"서울특별시 서초구 서초중앙로 195, 3,4층 (반포동)",한식,,
170,방배골숯불갈비,"서울특별시 서초구 방배중앙로29길 21, 101호 (방배동)",한식,,
171,마초셰프,"서울특별시 서초구 서초대로25길 8, 1층 (방배동)",경양식,,
172,댓짱돈까스,"서울특별시 서초구 방배중앙로 204, 1층 101호, 102호, 106호 (방배동, 리첸시아방배)",한식,,
173,하남돼지집 반포점,"서울특별시 서초구 고무래로8길 4, 1층 (반포동)",경양식,,
174,우면산,"서울특별시 서초구 효령로2길 5, 1층 (방배동)",한식,,
175,방배명가,"서울특별시 서초구 서초대로23길 21, 1층 (방배동)",한식,,
176,들밥 나들이,"서울특별시 서초구 원터길 19, (원지동)",한식,,
177,삼소락,"서울특별시 서초구 방배천로 17, 1층 (방배동, 주건축물제1동)",한식,,
178,곤드레집,"서울특별시 서초구 청룡마을1길 1, 1층,2층 (신원동)",한식,,
179,동지섣달 꽃본듯이,"서울특별시 서초구 원터6길 3, (원지동,지상 2층)",한식,,
180,여의도생고기,"서울특별시 서초구 신흥말길 27-9, 1층 (내곡동)",분식,,
